category_code,country_code,url,created_at,caption,category_score,country_score,stereotype_score,offensiveness_score,contributors_cnt,contributors,updated_at
CITIES,KOR,https://www.worldatlas.com/r/w1200/upload/7f/2c/f0/seoul.jpg,2024-07-02T11:12:19.080188,A city with many tall buildings and a hill with a tower on top.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://ychef.files.bbci.co.uk/624x351/p0371p0p.jpg,2024-07-02T11:12:19.080188,A densely populated city with tall buildings and a mountain range in the background.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://d.newsweek.com/en/full/2073632/busan-south-korea-city-view-night.jpg,2024-07-02T11:12:19.080188,"A large city with many tall buildings is lit up at night, with a bridge leading into the city and a body of water separating the land.",0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://t3.ftcdn.net/jpg/02/78/32/98/360_F_278329866_mbYGHcD74yLOlvjWgVpbOYtQ66DPQiT2.jpg,2024-07-02T11:12:19.080188,"A large city with many buildings is situated on a hill with lush green vegetation, and the sky is filled with clouds.",0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://www.thoughtco.com/thmb/Su_ZkXGy6r0xEXGYxOM4SjQVmtQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/GettyImages-642940248-5ba3bcf446e0fb0050b00f31.jpg,2024-07-02T11:12:19.080188,A large building complex surrounded by roads with blurred traffic and lights.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://www.businessdestinations.com/wp-content/uploads/2013/12/Songdo-main-image.jpg,2024-07-02T11:12:19.080188,"An aerial view of a city with tall buildings and lit up roads, at twilight.",0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://www.gone2korea.com/wp-content/uploads/2021/01/Daegu-City.jpg,2024-07-02T11:12:19.080188,A densely populated city with many buildings is nestled between mountains and greenery.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://citygame.com/wp-content/blogs.dir/1/files/sites/37/2023/01/South-Korea-City-Game-e1674652992106-1920x1080.jpg,2024-07-02T11:12:19.080188,A densely populated urban area with tall buildings lit up at night.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://media.istockphoto.com/id/467652752/photo/busan-cityscape.jpg?s=612x612&w=0&k=20&c=QsASMALbZjCILahHYaXWvBP7Z8AHwDZDL8CbuqztMqM=,2024-07-02T11:12:19.080188,A harbor with many boats and buildings in the background.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnPvfPXUdOBta9yXQyEZn-vFtp3hvbuUtlNA&s,2024-07-02T11:12:19.080188,"A large city with a tall, thin building illuminated by many lights at night.",0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://th-thumbnailer.cdn-si-edu.com/P3dcbPT3mlUC10r5nQTH29MMsog=/800x600/https://tf-cmsv2-smithsonianmag-media.s3.amazonaws.com/filer/Seoul-Dongdaemun-Design-Plaza-631.jpg,2024-07-02T11:12:19.080188,A brightly lit city at night with a busy street with cars driving on it.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://isep-prod.s3.amazonaws.com/image/2641/original.jpg?1569010548,2024-07-02T11:12:19.080188,A large city with many tall buildings is surrounded by a river with two bridges.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://www.gone2korea.com/wp-content/uploads/2021/01/Busan-City.jpg,2024-07-02T11:12:19.080188,A large city is situated near a body of water and a large island.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://i.pinimg.com/736x/ee/10/5b/ee105b9c4c89b1ee930a500d16328294.jpg,2024-07-02T11:12:19.080188,A tall tower illuminated with lights is visible in the center of an image of a city with tall buildings at night.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://miro.medium.com/v2/resize:fit:719/1*Wc4PwdZblTr12FNVU0jvMg.jpeg,2024-07-02T11:12:19.080188,A tall building stands out against the backdrop of a city lit up at night.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://live.staticflickr.com/6162/6243355801_3f99e06057_b.jpg,2024-07-02T11:12:19.080188,The image shows a cityscape at night with many buildings lit up.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://twisht.com/resources/ckuploads/uZCVzvhjTWoN.jpg,2024-07-02T11:12:19.080188,A pond reflecting lit buildings and a large wooden wheel.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://i.insider.com/627c7ebf27d5960019ee32ee?width=700,2024-07-02T11:12:19.080188,"A city is built on many small, hexagonal islands connected to a larger mainland city.",0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://media.istockphoto.com/id/1073214064/photo/songdo-central-park-incheon-city-south-korea.jpg?s=612x612&w=0&k=20&c=THtv0YWN8V1uX-y5TGptBOfPIjY3QvQMAqXBijB90Vs=,2024-07-02T11:12:19.080188,A large body of water flows through a city with tall buildings and a large curved structure.,0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://blogs.worldbank.org/content/dam/sites/blogs/img/detail/mgr/korea.jpg,2024-07-02T11:12:19.080188,"A long, narrow, green space with a winding waterway cuts through a densely populated urban area.",0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://koryogroup.com/ckeditor_assets/pictures/2879/content_Pyongyang.JPG,2024-07-02T11:12:19.080188,"A city is densely packed with buildings, with a few very tall ones rising above the rest.",0,0,0,0,0,,2024-08-11T16:12:57.640514
CITIES,KOR,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToQHKLsp4sefC-UQ_qRE5z50-5xtZiHpyKbA&s,2024-07-02T11:12:19.080188,"A large city with tall buildings, a winding waterway, and green spaces.",0,0,0,0,0,,2024-08-11T16:12:57.640514
